CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,G,Carter Hart (31309314),Carter Hart,31309314,CPT,16200,PHI@NYI 11/25/2023 07:30PM ET,PHI,12.32
,,,,,,,G,Samuel Ersson (31309356),Samuel Ersson,31309356,CPT,15900,PHI@NYI 11/25/2023 07:30PM ET,PHI,6.09
,,,,,,,G,Ilya Sorokin (31309315),Ilya Sorokin,31309315,CPT,15600,PHI@NYI 11/25/2023 07:30PM ET,NYI,15.99
,,,,,,,G,Semyon Varlamov (31309357),Semyon Varlamov,31309357,CPT,15300,PHI@NYI 11/25/2023 07:30PM ET,NYI,17.83
,,,,,,,D,Noah Dobson (31309316),Noah Dobson,31309316,CPT,14700,PHI@NYI 11/25/2023 07:30PM ET,NYI,13.86
,,,,,,,RW,Travis Konecny (31309317),Travis Konecny,31309317,CPT,14400,PHI@NYI 11/25/2023 07:30PM ET,PHI,11.86
,,,,,,,C,Bo Horvat (31309318),Bo Horvat,31309318,CPT,13800,PHI@NYI 11/25/2023 07:30PM ET,NYI,11.1
,,,,,,,C,Brock Nelson (31309319),Brock Nelson,31309319,CPT,13200,PHI@NYI 11/25/2023 07:30PM ET,NYI,12.66
,,,,,,,RW,Cam Atkinson (31309320),Cam Atkinson,31309320,CPT,12900,PHI@NYI 11/25/2023 07:30PM ET,PHI,10.86
,,,,,,,LW,Mathew Barzal (31309321),Mathew Barzal,31309321,CPT,12600,PHI@NYI 11/25/2023 07:30PM ET,NYI,11.68
,,,,,,,D,Travis Sanheim (31309322),Travis Sanheim,31309322,CPT,12300,PHI@NYI 11/25/2023 07:30PM ET,PHI,10.52
,,,,,,,LW,Owen Tippett (31309323),Owen Tippett,31309323,CPT,12000,PHI@NYI 11/25/2023 07:30PM ET,PHI,11.43
,,,,,,,LW,Joel Farabee (31309324),Joel Farabee,31309324,CPT,11400,PHI@NYI 11/25/2023 07:30PM ET,PHI,9.68
,,,,,,,G,Carter Hart (31309264),Carter Hart,31309264,FLEX,10800,PHI@NYI 11/25/2023 07:30PM ET,PHI,12.32
,,,,,,,D,Sean Walker (31309325),Sean Walker,31309325,CPT,10800,PHI@NYI 11/25/2023 07:30PM ET,PHI,9.38
,,,,,,,G,Samuel Ersson (31309306),Samuel Ersson,31309306,FLEX,10600,PHI@NYI 11/25/2023 07:30PM ET,PHI,6.09
,,,,,,,C,Sean Couturier (31309326),Sean Couturier,31309326,CPT,10500,PHI@NYI 11/25/2023 07:30PM ET,PHI,9.49
,,,,,,,G,Ilya Sorokin (31309265),Ilya Sorokin,31309265,FLEX,10400,PHI@NYI 11/25/2023 07:30PM ET,NYI,15.99
,,,,,,,G,Semyon Varlamov (31309307),Semyon Varlamov,31309307,FLEX,10200,PHI@NYI 11/25/2023 07:30PM ET,NYI,17.83
,,,,,,,RW,Kyle Palmieri (31309327),Kyle Palmieri,31309327,CPT,10200,PHI@NYI 11/25/2023 07:30PM ET,NYI,8.87
,,,,,,,D,Scott Mayfield (31309328),Scott Mayfield,31309328,CPT,9900,PHI@NYI 11/25/2023 07:30PM ET,NYI,8.14
,,,,,,,D,Noah Dobson (31309266),Noah Dobson,31309266,FLEX,9800,PHI@NYI 11/25/2023 07:30PM ET,NYI,13.86
